author_id,author_name
2113592602,Hussein Thompson
2142249029,Pranay Chaudhuri
2174205032,Vasif V. Nabiyev
2022192081,Güzin Ulutas
2146570697,Antonio Zamora
2482909946,Ryo Muramatsu
2308774408,Faisal Zaman
2125293936,Rafael Álvarez
2126056503,M. Nasser
2117665592,G. Earl
2425818370,M. Mufakhkharul Islam
2300589394,Altaf Hossain
2159120860,José-Francisco Vicent
2611851107,Phan Cong Vinh
2101693188,Leandro Tortosa
2307479915,Masahiko Sugimoto
2134989941,Michio Shimizu
1989208940,Makoto Otani
2114054191,Masami Hashimoto
2128134587,Mizue Kayama
2101782692,Kazunori Itoh
1237859792,Jovan Dj. Golic
2103626414,G. Beale
2023460672,Mustafa Ulutas
220887178,Guglielmo Morgari
2718958994,Pranava K. Jha
2312688602,Makoto Satoh
